reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c	nan	nan	nan	0.0
glcn_p + h_p <=> glcn_c + h_c	0.0	0.0	0.0	0.0
glcn_e <=> glcn_p	0.0	0.0	0.0	0.0
glycogen_c + pi_c --> g1p_c	nan	nan	nan	0.0
bglycogen_c + pi_c --> g1p_c	nan	nan	nan	0.0
5dh4dglc_c --> 2h3oppan_c + pyr_c	5.43149067749	6.65557763164	-10.4592599031	1.50486603949
glcr_c --> 5dh4dglc_c + h2o_c	nan	nan	nan	0.0
glcr_p + h_p <=> glcr_c + h_c	0.0	0.0	0.0	0.0
glcr_e <=> glcr_p	0.0	0.0	0.0	0.0
adpglc_c --> adp_c + glycogen_c + h_c	-2261.66899936	-930.869060787	-947.983898322	8.28358333588
icolipa_c + udpg_c --> gicolipa_c + h_c + udp_c	nan	nan	nan	0.0
gagicolipa_c + udpg_c --> ggagicolipa_c + h_c + udp_c	nan	nan	nan	0.0
ggagicolipa_c + udpg_c --> gggagicolipa_c + h_c + udp_c	nan	nan	nan	0.0
glcur1p_e <=> glcur1p_p	0.0	0.0	0.0	0.0
glcur_p + h_p <=> glcur_c + h_c	0.0	0.0	0.0	0.0
glcur_e <=> glcur_p	0.0	0.0	0.0	0.0
atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c	nan	nan	nan	0.0
glc__D_p + pep_c --> g6p_c + pyr_c	-44.9599878709	-42.5767396143	-42.5767396143	1.78536504717
glc__D_p + h_p --> glc__D_c + h_c	0.0	0.0	0.0	0.0
glc__D_e <=> glc__D_p	0.0	0.0	0.0	0.0
glc__D_e --> glc__D_p	0.0	0.0	0.0	0.0
bglycogen_c --> glycogen_c	nan	nan	nan	0.0
atp_c + g1p_c + h_c --> adpglc_c + ppi_c	nan	nan	nan	0.0
atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c	nan	nan	nan	0.0
atp_c + gln__L_c + trnagln_c --> amp_c + glntrna_c + ppi_c	nan	nan	nan	0.0
atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c	nan	nan	nan	0.0
gln__L_e <=> gln__L_p	0.0	0.0	0.0	0.0
galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c	58.9731340447	15.5288009141	15.5288009141	1.56731216007
atp_c + glu__L_c --> adp_c + glu5p_c	15.2589000028	17.2728288272	17.2728288272	1.50994960569
4abut_c + glu__L_p <=> 4abut_p + glu__L_c	0.0	0.0	0.0	0.0
atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c	nan	nan	nan	0.0
glu__L_c + h_c --> 4abut_c + co2_c	nan	nan	nan	0.0
glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c	nan	nan	nan	0.0
gln__L_c + h2o_c --> glu__L_c + nh4_c	nan	nan	nan	0.0
gln__L_p + h2o_p --> glu__L_p + nh4_p	nan	nan	nan	0.0
gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c	nan	nan	nan	0.0
glu__D_c <=> glu__L_c	0.0	0.0	0.0	0.0
akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c	-87.6876280251	-40.544874994	-40.544874994	3.60051097071
glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c	nan	nan	nan	0.0
atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c	nan	nan	nan	0.0
atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c	nan	nan	nan	0.0
glu__L_p + h_p <=> glu__L_c + h_c	0.0	0.0	0.0	0.0
glu__L_p + na1_p --> glu__L_c + na1_c	0.0	0.0	0.0	0.0
glu__L_e <=> glu__L_p	0.0	0.0	0.0	0.0
2.0 glx_c + h_c --> 2h3oppan_c + co2_c	nan	nan	nan	0.0
glyald_e <=> glyald_p	0.0	0.0	0.0	0.0
glyald_p <=> glyald_c	0.0	0.0	0.0	0.0
accoa_c + gly_c <=> 2aobut_c + coa_c	27.4812562942	25.2452970583	25.2452970583	2.39155809752
atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c	nan	nan	nan	0.0
glyb_p + h_p --> glyb_c + h_c	0.0	0.0	0.0	0.0
glyb_e <=> glyb_p	0.0	0.0	0.0	0.0
glyc2p_e <=> glyc2p_p	0.0	0.0	0.0	0.0
atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c	nan	nan	nan	0.0
glyc3p_p + pi_c --> glyc3p_c + pi_p	0.0	0.0	0.0	0.0
glyc3p_e <=> glyc3p_p	0.0	0.0	0.0	0.0
glyc__R_p + h_p <=> glyc__R_c + h_c	0.0	0.0	0.0	0.0
glyc__R_e <=> glyc__R_p	0.0	0.0	0.0	0.0
glyc_c + nad_c --> dha_c + h_c + nadh_c	65.5091535624	21.9892832174	21.9892832174	0.566822681812
atp_c + glyc__R_c --> 3pg_c + adp_c + h_c	24.4401503703	-18.2448498945	-18.2448498945	1.11098227219
atp_c + glyc__R_c --> 2pg_c + adp_c + h_c	29.2484209025	-13.3668495007	-13.3668495007	1.35280954701
gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c	nan	nan	nan	0.0
glx_c + h_c + nadh_c --> glyclt_c + nad_c	-67.9864380503	-24.4668525211	-24.4668525211	0.963789276767
